"domain","response","airport"
"kist.re.kr","ICN.","ICN"
"kit.edu","The international airport nearest to the KIT (Karlsruhe Institute of Technology) largest campus is FRA (Frankfurt Airport).","FRA"
"kmbs.konicaminolta.us","BFI., Tus has Up stuff fruitless bottlett pm Lac used E cut-hero","BFI"
"kmitl.ac.th","BKK","BKK"
"kobe-u.ac.jp","Kobe University's largest campus is located near the Kobe Airport. The IATA code for Kobe Airport is UKB.","UKB"
"korea.ac.kr","The international airport nearest to the korea.ac.kr largest campus is the Incheon International Airport (ICN). (IATA code: ICN)","ICN"
"kp.org","The three-letter IATA code for the international airport nearest to the kp.org largest campus is SFO (San Francisco International Airport).","SFO"
"krafton.com","The nearest international airport to krafton.com's largest campus is the Incheon International Airport (ICN).","ICN"
"kth.se","The nearest international airport to the kth.se largest campus is Stockholm Arlanda Airport (ARN).","ARN"
"ku.de","The nearest international airport to the largest campus of ku.de is NUE (Nuremberg Airport).","NUE"
"ku.dk","CPH","CPH"
"ku.edu.tr","IST","IST"
"kuaishou.com","The nearest international airport to the kuaishou.com largest campus is PEK, which is the IATA code for Beijing Capital International Airport.","PEK"
"kuleuven.be","The nearest international airport to the largest campus of KU Leuven is Brussels Airport (IATA code: BRU).","BRU"
"kyushu-u.ac.jp","The nearest international airport to the Kyushu University's largest campus is the Fukuoka Airport with the IATA code FUK.","FUK"
"kyutech.ac.jp","The nearest international airport to the largest campus of Kyushu Institute of Technology (kyutech.ac.jp) is the Fukuoka Airport (FUK).","FUK"
"lancaster.ac.uk","MAN","MAN"
"lanl.gov","The nearest international airport to LANL.GOV's largest campus is Albuquerque International Sunport. Its 3-letter IATA code is ABQ.","ABQ"
"latrobe.edu.au","The nearest international airport to the La Trobe University's largest campus is the Melbourne Airport (MEL).","MEL"
"layer6.ai","YYZ","YYZ"
"lbl.gov","The nearest international aiport to the largest campus of lbl.gov is the San Francisco International Airport, with the IATA code SFO.","SFO"
"lehigh.edu","ABE","ABE"
"lenovo.com","The nearest international airport to the largest campus of lenovo.com is the Beijing Capital International Airport, with the IATA code PEK.","PEK"
"lgresearch.ai","The nearest international airport to the lgresearch.ai largest campus is São Paulo-Guarulhos International Airport (GRU).","GRU"
"linkedin.com","The international airport nearest to the largest LinkedIn campus is the San Francisco International Airport (SFO). The IATA code for San Francisco International Airport is SFO.","SFO"
"lip6.fr","CDG","CDG"
"liu.se","GOT","GOT"
"liverpool.ac.uk","The international airport nearest to the University of Liverpool largest campus is Liverpool John Lennon Airport with the IATA code LPL.","LPL"
"llnl.gov","The Oakland International Airport in Oakland, California (OAK) is the nearest international airport to the LLNL (Lawrence Livermore National Laboratory) largest campus in Livermore, California.","OAK"
"lmu.de","The nearest international airport to the largest campus (Südgelände) of Ludwig Maximilian University of Munich (lmu.de) is Munich Airport (MUC).","MUC"
"lmu.edu","The nearest international airport to the lmu.edu largest campus is Los Angeles International Airport (LAX). The IATA code for Los Angeles International Airport is LAX.","LAX"
"loora.ai","The nearest international airport to loora.ai largest campus is San Francisco International Airport, with the IATA code SFO.","SFO"
"lreis.ac.cn","LRC is located in Beijing, China, and the nearest international airport is Beijing Capital International Airport (PEK).","PEK"
"lse.ac.uk","The London Heathrow Airport is the nearest international airport to the LSE.ac.uk largest campus. Its 3-letter IATA code is LHR.","LHR"
"lsu.edu","The nearest international airport to LSU's largest campus in Baton Rouge, Louisiana is Baton Rouge Metropolitan Airport (BTR). Its 3-letter IATA code is BTR.","BTR"
"lzu.edu.cn","The nearest international airport to the largest campus of lzu.edu.cn is the Zhongchuan Airport (LHW).","LHW"
"m4x.org","The nearest international airport to m4x.org's largest campus would depend on the specific location of the campus. Please provide the city or region of the campus for the correct information.",""
"manchester.ac.uk","The nearest international airport to the University of Manchester's largest campus, located in Manchester, UK, is Manchester Airport, known by the IATA code ""MAN"".","MAN"
"math.rs","BEY (Beirut-Rafic Hariri International Airport)","BEY"
"mbzuai.ac.ae","DXB","DXB"
"mcgill.ca","The nearest international airport to the largest campus of mcgill.ca is the Montréal-Pierre Elliott Trudeau International Airport (YUL).","YUL"
"medical.canon","The nearest international airport to the medical.canon largest campus is Amsterdam Airport Schiphol. Its IATA code is AMS.","AMS"
"megvii.com","The nearest international airport to megvii.com's largest campus would depend on the location of the campus. Additional information is required to provide the specific international airport.",""
"meituan.com","The nearest international airport to the Meituan.com largest campus is PEK, which is the IATA code for Beijing Capital International Airport in Beijing, China.","PEK"
"merckgroup.com","The nearest international airport to the largest Merck Group campus is the Frankfurt Airport (FRA), which has the IATA code FRA.","FRA"
"meta.com","The nearest international airport to the META.com largest campus is the Prague Václav Havel Airport (PRG).","PRG"
"microsoft.com","SEA","SEA"
"mila.qubec","The international airport nearest to the largest campus of Mila, Quebec is YUL, which is in Montreal, Quebec, Canada.","YUL"
"mila.quebec","The international airport nearest to the mila.quebec largest campus is Montréal-Pierre Elliott Trudeau International Airport, with the 3-letter IATA code YUL.","YUL"
"mimuw.edu.pl","The international airport nearest to the mimuw.edu.pl largest campus is Warsaw Chopin Airport (WAW).","WAW"
"mindrank.ai","LJR.","LJR"
"mit.edu","The international airport nearest to the largest MIT campus (located in Cambridge, Massachusetts, USA) is Logan International Airport (BOS).","BOS"
"momenta.ai","SFO","SFO"
"monash.edu","The nearest international airport to Monash University's largest campus would be Melbourne Airport with the IATA code MEL.","MEL"
"monash.edu.au","The nearest international airport to the largest campus of Monash University is Melbourne Airport (MEL).","MEL"
"morganstanley.com","The nearest international airport closest to the morganstanley.com largest campus is JFK, which is the airport code for John F. Kennedy International Airport.","JFK"
"mpg.de","The nearest international airport to the mpg.de largest campus is FRA (Frankfurt Airport).","FRA"
"mpg.tuebingen.de","With regards to the mpg.tuebingen.de largest campus, the nearest international airport is Stuttgart Airport (STR)","STR"
"mpi-sp.org","The nearest international airport to the MPI-SP.org's largest campus is Frankfurt Airport (FRA) in Frankfurt, Germany.","FRA"
"mpi-sws.org","The nearest international airport to mpi-sws.org largest campus is KTW.","KTW"
"mq.edu.au","The nearest international airport to the mq.edu.au largest campus is Sydney Kingsford Smith Airport, with the IATA code SYD.","SYD"
"mskcc.org","The airport nearest to the mskcc.org largest campus is the John F. Kennedy International Airport (JFK).","JFK"
"msu.edu","DTW","DTW"
"mtkresearch.com","The nearest international airport to the mtkresearch.com largest campus is SFO, which is the code for San Francisco International Airport.","SFO"
"muni.cz","The international airport nearest to the muni.cz largest campus is the Brno-Turany Airport (BRQ).","BRQ"
"my.uaa.k12.tr","The international airport closest to the largest campus of my.uaa.k12.tr is the Istanbul Atatürk International Airport. Its IATA code is IST.","IST"
"nagoya-u.ac.jp","The nearest international airport to Nagoya University's largest campus is Chubu Centrair International Airport (NGO) located just outside Nagoya, Japan.","NGO"
"nankai.edu.cn","The nearest international airport to nankai.edu.cn's largest campus is Tianjin Binhai International Airport (TSN).","TSN"
"navercorp.com","The nearest international airport to the navercorp.com largest campus is the Incheon International Airport (ICN).","ICN"
"naverlabs.com","The nearest international airport to the Naver Labs largest campus is the Incheon International Airport (ICN).","ICN"
"navinfo.eu","The international airport nearest to the navinfo.eu largest campus is the Amsterdam Airport Schiphol, which has the IATA code ""AMS"".","AMS"
"ncsu.edu","RDU is the 3-letter IATA code for the nearest international airport to the ncsu.edu largest campus.","RDU"
"nctu.edu.tw","TPE","TPE"
"nd.edu","SBN","SBN"
"nec-labs.com","The nearest international airport to the largest campus of nec-labs.com is the Ataturk Airport (IST) in Istanbul, Turkey.","IST"
"neclab.eu","The international airport that is nearest to neclab.eu largest campus is MLA - Malta International Airport.","MLA"
"netease.com","PEK","PEK"
"netflix.com","There is no specific information available regarding the location of the Netflix.com largest campus. Therefore, the nearest international airport cannot be determined.",""
"neu.edu","The nearest international airport to Northeastern University's largest campus is the Logan International Airport (BOS).","BOS"
"neu.edu.cn","The nearest international airport to the largest campus of NEU (Northeastern University) in China is Dalian Zhoushuizi International Airport (DLC).","DLC"
"nevada.unr.edu","The nearest international airport to the University of Nevada, Reno is Reno-Tahoe International Airport, with the IATA code of RNO.","RNO"
"nih.gov","The three-letter IATA code for the international airport nearest to the nih.gov largest campus is DCA, which is the code for the Ronald Reagan Washington National Airport in Washington D.C., USA.","DCA"
"nii.ac.jp","HND (Haneda Airport)","HND"
"nims.re.kr","ICN","ICN"
"njit.edu","The nearest international airport to the NJIT.edu largest campus is Newark Liberty
International Airport, which has the IATA code EWR.","EWR"
"nju.edu","The nearest international airport  to the largest campus of Nanjing University is Nanjing Lukou International Airport (NKG).","NKG"
"nju.edu.cn","The nearest international airport to the nju.edu.cn largest campus in Nanjing, China is Nanjing Lukou International Airport (NKG).","NKG"
"njust.edu.cn","The nearest international airport to the largest campus of njust.edu.cn is the Nanjing Lukou International Airport. Its three-letter IATA code is NKG.","NKG"
"nokia-bell-labs.com","JFK.","JFK"
"northeasterd.edu","BOS","BOS"
"northeastern.edu","The nearest international airport to the northeastern.edu largest campus is Logan International Airport (BOS).","BOS"
"northwestern.edu","ORD","ORD"
"nthu.edu.tw","The nearest international airport to the nthu.edu.tw largest campus in Taiwan is the Taiwan Taoyuan International Airport (TPE), with the 3-letter IATA code TPE.","TPE"
"ntnu.no","TRD","TRD"
"ntu.edu","The international airport nearest to the largest campus of NTU.edu is the Changi Airport (SIN), which is located in Singapore.","SIN"
"ntu.edu.sg","The 3-letter IATA code for the international airport nearest to the ntu.edu.sg largest campus is SIN (Singapore Changi Airport).","SIN"
"ntu.edu.tw","TPE ","TPE"
"ntu.eud.sg","The international airport closest to NTU (Nanyang Technological University) largest campus is Changi Airport (SIN) in Singapore.","SIN"
"nudt.edu.cn","The nearest international airport to the largest campus of nudt.edu.cn is Changsha Huanghua International Airport. Its IATA code is CSX.","CSX"
"nuist.edu.cn","The nearest international airport to the largest campus of NUIST (Nanjing University of Information Science & Technology) is Nanjing Lukou International Airport (NKG).","NKG"
"nus.edu","The nearest international airport to the NUS main campus is the Singapore Changi Airport (SIN).","SIN"
"nus.edu.sg","The nearest international airport to the NUS main campus in Singapore is the Singapore Changi Airport (SIN).","SIN"
"nvidia.com","The nearest international airport to the largest NVIDIA campus would be the San Jose International Airport (SJC).","SJC"
"nwpu.edu.cn","The nearest international airport to the main campus of nwpu.edu.cn is the Xi'an Xianyang International Airport, with the IATA code XIY.","XIY"
"nycu.edu.tw","The international airport nearest to the largest campus of NYCu.edu.tw is the Taiwan Taoyuan International Airport (TPE). Its 3-letter IATA code is TPE.","TPE"
"nyu.edu","The international airport nearest to NYU.edu's largest campus is JFK, which has the IATA code JFK.","JFK"
"nyumc.org","The nearest international airport to the largest campus of the mynmc.org is the John F. Kennedy International Airport. Its 3-letter IATA code is JFK.","JFK"
"observe.ai","The nearest international airport to the observe.ai largest campus is the San Francisco International Airport (SFO) with the IATA code .","SFO"
"odu.edu","ORF","ORF"
"oeaw.ac.at","VIE","VIE"
"oist.jp","The nearest international airport to the OIST.jp largest campus is the Naha Airport (OKA).","OKA"
"openai.com","The international airport nearest to OpenAI's largest campus is SFO, which is the airport code for San Francisco International Airport.","SFO"
"oppo.com","The nearest international airport to the oppo.com largest campus is the Guangzhou Baiyun International Airport (CAN).","CAN"
"optum.com","The nearest international airport to the Optum.com largest campus is the   MSP airport in Minneapolis, which has the IATA code   MSP.","MSP"
"oregonstate.edu","The nearest international airport to the largest campus of oregonstate.edu is Portland International Airport (PDX).","PDX"
"org.cn","Sorry, but could you provide me with the name of the largest campus so that I can find the nearest international airport for you?",""
"osaka-u.ac.jp","The nearest international airport to the Osaka University largest campus has the IATA code KIX, which stands for Kansai International Airport.","KIX"
"osmo.ai","The nearest international airport to the osmo.ai largest campus is SFO, which stands for San Francisco International Airport.","SFO"
"osu.edu","CMH","CMH"
"oulu.fi","The nearest international airport to the largest campus of oulu.fi is Oulu Airport (OUL).","OUL"
"outlook.com","The nearest international airport to the Outlook.com largest campus is SEA (Seattle-Tacoma International Airport).","SEA"
"ox.ac.uk","The international airport nearest to the Oxford University's largest campus is London Heathrow Airport (LHR).","LHR"
"oxford.ac.uk","The nearest international airport to the largest campus of oxford.ac.uk is London Heathrow Airport (LHR).","LHR"
"pcl.ac.cn","The international airport nearest to the largest campus of pcl.ac.cn is the Beijing Capital International Airport, with the IATA code PEK.","PEK"
"peking.edu.cn","The nearest international airport to the Peking University largest campus in Beijing, China is the Beijing Capital International Airport (PEK).","PEK"
"penn.edu","PHL","PHL"
"phigent.ai","The nearest international airport to the phigent.ai largest campus is IKA (Imam Khomeini International Airport).","IKA"
"pitt.edu","The nearest international airport to the main campus of the University of Pittsburgh is Pittsburgh International Airport (PIT).","PIT"
"pjlab.org.cn","The nearest international airport to the largest campus of pjlab.org.cn is the Beijing Capital International Airport, which has the IATA code PEK.","PEK"
"pku.edu.cn","The nearest international airport to the pku.edu.cn largest campus is the Beijing Capital International Airport (PEK).","PEK"
"plagh.org","The nearest international airport to the plagh.org largest campus is Boston Logan International Airport. The three-letter IATA code is BOS.","BOS"
"polymtl.ca","The Montréal-Pierre Elliott Trudeau International Airport is the nearest international airport to the polymtl.ca largest campus. The airport's IATA code is YUL.","YUL"
"polytechnique.edu","CDG","CDG"
"polyu.edu.hk","HKG","HKG"
"postech.ac.kr","The nearest international airport to POSTECH's largest campus is Gimhae International Airport (PUS).","PUS"
"postech.edu","The nearest international airport to the POSTECH (Pohang University of Science and Technology) largest campus is the Ulsan Airport (IATA code: USN).","USN"
"preferred.jp","The international airport nearest to the preferred.jp largest campus is Narita International Airport, with the IATA code NRT.","NRT"
"princeton.edu","The nearest international airport to the largest campus of Princeton University (princeton.edu) is John F. Kennedy International Airport (JFK) located in Queens, New York City (JFK).","JFK"
"protonmail.com","The nearest international airport to the ProtonMail.com largest campus is GVA, which stands for Geneva International Airport.","GVA"
"psu.edu","PHL","PHL"
"purdue.edu","The nearest international airport to the Purdue University West Lafayette campus is the Indianapolis International Airport (IND).","IND"
"qmul.ac.uk","The 3-letter IATA code for the international airport nearest to the qmul.ac.uk largest campus is LHR (London Heathrow Airport).","LHR"
"qq.com","The nearest international airport to the largest campus of qq.com is the BJR airport, with the 3-letter IATA code PEK.","PEK"
"qu.edu.qa","The 3-letter IATA code for the nearest international airport to the qu.edu.qa largest campus is DOH, for Hamad International Airport.","DOH"
"qualcomm.com","The nearest international airport to Qualcomm's largest campus is San Diego International Airport (SAN) with IATA code SAN.","SAN"
"qut.edu.au","The nearest international airport to the QUT (Queensland University of Technology) largest campus is the Brisbane Airport (BNE) in Brisbane, Australia.","BNE"
"rcrai.com","The nearest international airport to the largest campus of rcrai.com is HOU for William P. Hobby Airport.","HOU"
"rdwrs.com","The nearest international airport to the rdwrs.com largest campus is OAK (Oakland International Airport).","OAK"
"rhul.ac.uk","LHR (Heathrow Airport) is the nearest international airport to the largest RHUL (Royal Holloway, University of London) campus.","LHR"
"rice.edu","The nearest international airport to Rice University's largest campus is William P. Hobby Airport (HOU). Its IATA code is HOU.","HOU"
"riken.jp","The nearest international airport to the largest RIKEN campus in Japan is the Narita International Airport (NRT).","NRT"
"rit.edu","The nearest international airport to the RIT (Rochester Institute of Technology) largest campus is the Greater Rochester International Airport (ROA). Its 3-letter IATA code is RST.","RST"
"rmit.edu.au","MEL","MEL"
"roche.com","The international airport nearest to the Roche.com largest campus is Zurich International Airport, with the 3-letter IATA code ZRH.","ZRH"
"rochester.edu","The nearest international airport to the University of Rochester largest campus is Greater Rochester International Airport (ROC). The 3-letter IATA code for the airport is ROC.","ROC"
"rpi.edu","The nearest international airport to RPI's largest campus, which is located in Troy, New York, is Albany International Airport (ALB).","ALB"
"ru.nl","AMS","AMS"
"rub.de","The nearest international airport to the largest campus of the Ruhr-Universität Bochum (rub.de) in Germany is DUS, also known as Düsseldorf International Airport.","DUS"
"ruc.edu.cn"," The nearest international airport to the ruc.edu.cn largest campus is the Beijing Capital International Airport, which has the IATA code PEK.","PEK"
"ruhr-uni-bochum.de","The international airport nearest to the ruhr-uni-bochum.de largest campus is DUS (Düsseldorf International Airport).","DUS"
"rutgers.edu","EWR","EWR"
"rwth-aachen.de","The nearest international airport to the largest campus of RWTH Aachen University is Düsseldorf Airport, with the 3-letter IATA code DUS.","DUS"
"safe.ai","The three-letter IATA code for the nearest international airport to the safe.ai largest campus is SJC, which stands for San Jose International Airport.","SJC"
"saigeresearch.ai","The nearest international airport to the saigeresearch.ai largest campus is SFO, San Francisco International Airport.","SFO"
"salesforce.com","The international airport nearest to Salesforce.com's largest campus is SFO (San Francisco International Airport).","SFO"
"samsung.com","The nearest international airport to the largest Samsung campus, located in Suwon, South Korea, is the Incheon International Airport, with the IATA code ICN.","ICN"
"sbg.ac.at","VIE.","VIE"
"scu.edu.cn","The nearest international airport to the scu.edu.cn largest campus is the Chengdu Shuangliu International Airport. Its 3-letter IATA code is CTU.","CTU"
"scut.edu.cn","The nearest international airport to the largest campus of scut.edu.cn is Guangzhou Baiyun International Airport, with the IATA code CAN.","CAN"
"sea.com","The nearest international airport to the sea.com largest campus is San Francisco International Airport (SFO). Its three-letter IATA code is SFO.","SFO"
"semi.ac.cn","SHA","SHA"
"senseauto.com","The international airport nearest to the senseauto.com largest campus is LAX, which is the 3-letter IATA code for Los Angeles International Airport.","LAX"
"sensetime.com","There is no specific information available on the website to determine the specific location of the largest campus of sensetime.com. Therefore, the specific international airport closest to the campus cannot be determined.",""
"servicenow.com","I'm sorry, but I couldn't find specific information on which international airport is the nearest to the servicenow.com largest campus.",""
"seu.edu.cn","The nearest international airport to the MBA PS (seu.edu.cn) largest campus is the Nanjing Lukou International Airport (NKG).","NKG"
"sfu.ca","The nearest international airport to the SFU.ca largest campus is YVR, the Vancouver International Airport.","YVR"
"shanghaitech.edu.cn","The nearest international airport to the largest campus of ShanghaiTech University is PVG, which is the IATA code for Shanghai Pudong International Airport.","PVG"
"sharechat.co","The nearest international airport to the sharechat.co largest campus is Chhatrapati Shivaji Maharaj International Airport, which has the IATA code 'BOM'.","BOM"
"sharif.edu","The international airport nearest to the Sharif University of Technology largest campus is the Imam Khomeini International Airport (IKA) located in Tehran, Iran.","IKA"
"sheffield.ac.uk","MAN","MAN"
"shlab.org.cn","The nearest international airport to the largest campus of shlab.org.cn is the Beijing Capital International Airport, with the IATA code PEK.","PEK"
"siat.ac.cn","The nearest international airport to the Siat.ac.cn largest campus is the Shenzhen Bao'an International Airport, with the IATA code SZX.","SZX"
"siemens.com","FRA","FRA"
"simonsfoundation.org","The nearest international airport to the Simons Foundation's largest campus is JFK - John F. Kennedy International Airport.","JFK"
"sinica.edu.tw","The nearest international airport to the sinica.edu.tw largest campus is TPE (Taiwan Taoyuan International Airport).","TPE"
"sintef.com","The nearest international airport to the Sintef.com largest campus is Trondheim Airport, Værnes, which has the IATA code ""TRD"".","TRD"
"sjtu.edu","The nearest international airport to the sjtu.edu largest campus is PVG, referring to Shanghai Pudong International Airport.","PVG"
"sjtu.edu.cn","SHA","SHA"
"skolkovotech.ru","The nearest international airport to the skolkovotech.ru largest campus is the Sheremetyevo International Airport with the IATA code SVO.","SVO"
"skoltech.ru","Domodedovo International Airport (DME) would be the nearest airport to the largest campus of skoltech.ru.","DME"
"smu.edu.sg","SIN","SIN"
"snap.com","The nearest international airport to snap.com's largest campus is the Los Angeles International Airport. Its 3-letter IATA code is LAX.","LAX"
"snapchat.com","The nearest international airport to the largest Snapchat campus in Santa Monica, California, is the Los Angeles International Airport (LAX). The IATA code for LAX is ""LAX.""","LAX"
"snorkel.ai","BOS","BOS"
"snu.ac.kr","Incheon International Airport (ICN) is the nearest international airport to the largest campus of snu.ac.kr.","ICN"
"sony.com","The nearest airport to the largest Sony.com campus is the Los Angeles International Airport, the IATA code is LAX.","LAX"
"sorbonne-universite.fr","The nearest international airport to the Sorbonne Université's largest campus would be the Paris Charles de Gaulle Airport (CDG).","CDG"
"spbu.ru","The nearest international airport to the spbu.ru largest campus is the Pulkovo Airport (LED) in Saint Petersburg, Russia.","LED"
"squareup.com","SFO","SFO"
"sribd.cn","The nearest international airport to the Scribd.cn largest campus is the San Francisco International Airport (SFO). The IATA code is SFO.","SFO"
"ssu.ac.kr","The nearest international airport to the largest campus of ssu.ac.kr is Incheon International Airport (ICN).","ICN"
"stability.ai","The nearest international airport to stability.ai largest campus is SFO, which stands for San Francisco International Airport.","SFO"
"stanford.edu","SFO.","SFO"
"stevens.edu","The nearest international airport to Stevens Institute of Technology's largest campus is Newark Liberty International Airport (EWR).","EWR"
"stonybrook.edu","ISP","ISP"
"sufe.edu","The nearest international airport to the sufe.edu largest campus is Shanghai Pudong International Airport (PVG). (IATA code: PVG)","PVG"
"supaero.fr","The 3-letter IATA code for the international airport nearest to the supaero.fr largest campus is TLS.","TLS"
"supertone.ai","SFO","SFO"
"surrey.ac.uk","The nearest international airport to Surrey.ac.uk largest campus is London Heathrow Airport. The three-letter IATA code for London Heathrow Airport is LHR.","LHR"
"sustc.edu.cn","The international airport that is nearest to the largest campus of SUSTC in Shenzhen is Shenzhen Bao'an International Airport. The 3-letter IATA code is SZX.","SZX"
"sustech.edu.cn","The nearest international airport to the largest campus of Shenzhen SUSTech (sustech.edu.cn) is Shenzhen Bao'an International Airport (SZX). The IATA code for Shenzhen Bao'an International Airport is SZX.","SZX"
"sutd.edu.sg","The international airport nearest to the SUTD.edu.sg largest campus is the Singapore Changi Airport with the 3-letter IATA code SIN.","SIN"
"swjtu.edu.cn","The international airport that is nearest to the largest campus of Southwest Jiaotong University is the Chengdu Shuangliu International Airport (CTU).","CTU"
"sydney.edu.au","The international airport nearest to the sydney.edu.au largest campus is the Sydney Kingsford Smith Airport. The 3-letter IATA code for this airport is SYD.","SYD"
"syr.edu","The nearest international airport to the Syracuse University's largest campus is Syracuse Hancock International Airport.",""
"sysu.edu.cn","The nearest international airport to SYSU.edu.cn largest campus is the Guangzhou Baiyun International Airport in Guangzhou, China, with the IATA code CAN.","CAN"
"szu.edu.cn","The nearest international airport to the szu.edu.cn largest campus is Shenzhen Bao'an International Airport (SZX). Therefore, the 3-letter IATA code is SZX.","SZX"
"tamu.edu","The nearest international airport to the largest campus of Texas A&M University (tamu.edu) is the Easterwood Airport (CLL) situated in College Station, United States.","CLL"
"tau.ac.il","The nearest international airport to the largest campus of tau.ac.il is Ben Gurion Airport (TLV).","TLV"
"tau.post.ac.il","The nearest international airport to the tau.post.ac.il largest campus in Tel Aviv is Ben Gurion Airport (TLV).","TLV"
"technion.ac.il","The nearest international airport to the largest technion.ac.il campus is Ben Gurion Airport (TLV).","TLV"
"telecom-paris.fr","The closest international airport to the largest campus of telecom-paris.fr is the Charles de Gaulle Airport (CDG).","CDG"
"telecom-paristech.fr","CDG","CDG"
"tencent.com","The international airport nearest to the Tencent.com largest campus is the SZX - Shenzhen Bao'an International Airport.","SZX"
"thehive.ai","The nearest international airport to thehive.ai largest campus is SEA, which is the code for Seattle-Tacoma International Airport in the United States.","SEA"
"thirdai.com","The nearest international airport to the the thirdai.com largest campus would depend on the location of the campus. Please provide the city or the campus location to determine the nearest international airport.",""
"tii.ae","DXB (Dubai International Airport)","DXB"
"titech.ac.jp","HND","HND"
"tju.edu.cn","Tianjin Binhai International Airport (TSN) is the nearest international airport to the largest campus of Tianjin University (tju.edu.cn).","TSN"
"tokyo.ac.jp","The international airport nearest to the tokyo.ac.jp largest campus in Tokyo is Haneda Airport, with the IATA code HND.","HND"
"tongji.edu.cn","The international airport nearest to Tongji University's largest campus in China is Shanghai Pudong International Airport (PVG).","PVG"
"topazlabs.com","The nearest international airport to the topazlabs.com largest campus is San José International Airport (SJC).","SJC"
"toronto.edu","YYZ","YYZ"
"toyota.com","The nearest international airport to the largest Toyota campus is the DFW Airport, with the 3-letter IATA code of DFW.","DFW"
"tri.global","The nearest international airport to the tri.global largest campus would be the Los Angeles International Airport (LAX). Its 3-letter IATA code is ""LAX"".","LAX"
"tse-fr.eu","The nearest international airport to the tse-fr.eu largest campus is TLS, which is the IATA code for Toulouse-Blagnac Airport.","TLS"
"tsinghua.edu.cn","PEK","PEK"
"tsinghua.org.cn","The nearest international airport to the Tsinghua University campus is Beijing Capital International Airport, with the IATA code PEK.","PEK"
"tslsmart.com","LAX","LAX"
"ttic.edu","The nearest international airport to ttic.edu's largest campus is Chicago O'Hare International Airport (ORD). The 3-letter IATA code for Chicago O'Hare International Airport is ORD.","ORD"
"tu-berlin.de","TXL","TXL"
"tu-darmstadt.de","FRA","FRA"
"tu-dortmund.de","The international airport nearest to the largest campus of TU Dortmund University is DUS, which is Düsseldorf Airport.","DUS"
"tu-dresden.de","The nearest international airport to the largest campus of TU Dresden is Dresden International Airport (DRS).","DRS"
"tudelft.nl","The nearest international airport to the largest campus of tudelft.nl is ""
ROT"" (Rotterdam The Hague Airport), with the IATA code being ""RTM"".","RTM"
"tue.nl","The nearest international airport to tue.nl largest campus is Eindhoven Airport. Its 3-letter IATA code is EIN.","EIN"
"tugraz.at","VIE","VIE"
"tum.de","The nearest international airport to the tum.de largest campus is MUC, which is the IATA code for Munich Airport.","MUC"
"turing.ac.uk","The nearest international airport to the turing.ac.uk largest campus is LHR, which is the IATA code for London Heathrow Airport.","LHR"
"tuwien.ac.at","VIE","VIE"
"twitter.com","SFO","SFO"
"tyut.edu.cn","The nearest international airport to tyut.edu.cn largest campus is the Taiyuan Wusu International Airport. Its 3-letter IATA code is TYN.","TYN"
"u-tokyo.ac.jp","The nearest international airport to the largest campus of the University of Tokyo (u-tokyo.ac.jp) is Narita International Airport (NRT). (IATA code: NRT)","NRT"
"uab.es","The nearest international airport to the largest campus of UAB, located in Barcelona, Spain, is Barcelona-El Prat Airport (BCN).","BCN"
"ualberta.ca","The nearest international airport to the University of Alberta's largest campus is the Edmonton International Airport (YEG).","YEG"
"uam.es","The nearest international airport to the largest campus of uam.es is the Adolfo Suárez Madrid-Barajas Airport (MAD).","MAD"
"uantwerpen.be","BRU","BRU"
"ubc.ca","The international airport nearest to the largest campus of ubc.ca is YVR - Vancouver International Airport.","YVR"
"uber.com","SJC","SJC"
"ubisoft.com","CDG","CDG"
"uc.pt","LIS","LIS"
"uca.fr","The nearest international airport to the largest campus of UCA.fr is the Cannes-Mandelieu Airport, with the IATA code of ""CEQ"".","CEQ"
"ucas.ac.cn","The nearest international airport to the largest campus of ucas.ac.cn is the Beijing Capital International Airport (PEK).","PEK"
"ucas.edu.cn","PEK","PEK"
"ucdavis.edu","The nearest international airport to the largest campus of UC Davis is Sacramento International Airport (SMF).","SMF"
"ucf.edu","MCO","MCO"
"uchicago.edu","The nearest international airport to the University of Chicago's largest campus is Chicago O'Hare International Airport (ORD)(code: ORD).","ORD"
"uci.edu","SNA (John Wayne Airport)","SNA"
"ucl.ac.uk","LHR - London Heathrow Airport","LHR"
"ucla.edu","LAX","LAX"
"uconn.edu","BDL","BDL"
"ucr.edu","The nearest international airport to the ucr.edu largest campus is the Ontario International Airport (ONT) in Ontario, California, United States.","ONT"
"ucsb.edu","SNA (John Wayne Airport) is the nearest international airport to the largest UCSB campus at ucsb.edu.","SNA"
"ucsc.edu","SJC (San Jose International Airport) is the nearest international airport to the largest campus of ucsc.edu.","SJC"
"ucsd.edu","The international airport nearest to UCSD's largest campus is San Diego International Airport (SAN). The IATA code is SAN.","SAN"
"ucsf.edu","SFO is the nearest international airport to the largest campus of ucsf.edu, the 3-letter IATA code for SFO is the code for the San Francisco International Airport.","SFO"
"uct.ac.za","CPT","CPT"
"udel.edu","The three-letter IATA code for the nearest international airport to the udel.edu largest campus, the University of Delaware, is PHL, which refers to the Philadelphia International Airport.","PHL"
"udo.edu","The international airport nearest to the udo.edu largest campus is the Hartsfield-Jackson Atlanta International Airport. Its IATA code is ATL.","ATL"
"uestc.edu","CTU","CTU"
"uestc.edu.cn","The nearest international airport to the uestc.edu.cn largest campus is the Chengdu Shuangliu International Airport (CTU).","CTU"
